normal_data,bimodal_data
7.585868501,6.977405518
10.55485848,11.58721109
12.16888235,12.19153293
5.308604595,12.43285739
10.85824938,12.22085984
11.01211178,10.6294056
8.85052008,12.0233904
8.906736288,12.20225908
8.871096002,11.09049452
8.219924342,9.306598631
9.0456146,8.652462345
8.00322711,8.717053136
8.447492211,8.929462713
10.12891763,7.618945931
11.91898812,7.730596568
9.779429011,12.34196793
8.977980988,7.940872584
8.177609167,11.73605046
8.325656639,11.04106935
14.83167036,8.300791483
10.26817644,7.716353679
9.018628207,12.20613455
9.118904255,12.24956518
10.91917888,11.30891562
8.612559506,11.86780902
7.103590179,7.345955216
11.14951144,7.696564289
7.952688554,11.64594624
9.969723399,8.502000097
8.128102798,8.151044214
12.20459509,7.675729101
9.048813842,12.25063465
8.581119925,11.17010336
8.997483879,10.52732347
6.741813062,11.70978661
7.664761476,8.498064286
5.639920702,11.36980528
7.318013616,6.996799239
9.411412282,11.46709454
9.068204919,8.027819717
12.89899253,7.498172723
7.862714553,11.97813254
8.289270733,12.14534065
9.438753996,11.70789604
8.011319847,11.27314808
8.062971364,8.794397813
7.785363615,11.35851137
7.496028229,9.403955938
8.952343762,11.85582465
9.006300085,11.997984
6.387937486,7.273653038
8.835848151,12.80556
7.782220751,10.88668101
7.970075981,11.95590143
9.675380953,9.091006713
11.12611164,8.660319551
13.29563495,7.858211011
8.453293152,8.504533218
13.21181926,7.159318081
7.684382905,13.08593727
11.31317693,11.34842948
15.09798214,8.6587181
9.93047922,8.483895426
8.660732841,13.30689066
9.984790489,12.19786381
13.5541689,11.90031486
7.722784526,12.59199978
12.73565436,11.2962305
12.65912958,7.64335269
10.67294559,7.658235846
10.01378568,8.10605954
9.089062524,12.14219778
9.266952134,11.6851349
11.29657314,8.543834839
14.14054172,8.540182389
9.693203175,8.352219622
7.218598107,12.11901695
8.552836446,11.11594568
10.51652352,12.1838878
9.36588177,8.322416398
9.644420085,8.548358599
9.660011846,7.685947661
7.255396228,11.96368693
9.652425659,12.09432377
11.70046451,7.626683022
11.39521742,7.647809012
11.0999947,7.095221887
9.194536049,10.80420498
9.616812459,8.018883758
7.610944241,11.38213996
9.893682363,8.336498943
10.510392,12.1323643
13.41192801,10.65061569
12.0030265,11.64615901
9.008833114,7.388355389
10.71110059,11.51749974
7.730783913,10.27086109
11.75640725,13.54417317
11.94583351,11.92852186
14.24223421,11.36419185
10.82904707,10.94730414
9.050563053,9.255535607
10.13198699,11.0046637
8.995044435,7.251522724
8.348002826,7.860543588
10.33397856,12.83478845
8.207470748,7.83724723
10.33637078,7.755697979
10.70993652,11.24686228
9.895789766,8.564228906
9.608130763,8.705704176
8.701860497,8.642364734
7.780465537,11.82066163
11.69854841,8.271948775
10.04472505,8.764494641
11.66228123,12.59265544
7.511424297,11.14318714
10.33805283,13.15257139
11.34633261,10.21114732
9.947447247,12.18746794
9.617215663,8.315785144
8.436186707,7.616959089
14.11632398,11.13297631
11.50100291,8.31493575
13.6484166,8.219637474
10.16011928,8.299652608
8.737181402,7.859121826
6.97342376,7.800741135
8.727800338,6.951719157
10.45260306,8.628670029
12.02738069,11.7748344
10.50550027,11.66123604
7.656103374,7.907279305
11.33742866,7.832790821
6.69979813,7.966102976
9.268295504,7.34953577
